EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,MARR,AGE,RACE,OCCUPATION,SECTOR,label
8.0,0,0,21.0,1,0,35.0,0,2,1,5.1
9.0,0,0,42.0,1,0,57.0,2,2,1,4.95
12.0,0,1,1.0,1,1,19.0,2,2,1,6.67
12.0,0,1,4.0,1,1,22.0,2,2,2,4.0
12.0,0,1,17.0,1,0,35.0,2,2,2,7.5
13.0,0,1,9.0,0,1,28.0,2,2,2,13.07
10.0,1,1,27.0,1,1,43.0,2,2,2,4.45
12.0,0,1,9.0,1,1,27.0,2,2,2,19.47
16.0,0,1,11.0,1,0,33.0,2,2,1,13.28
12.0,0,1,9.0,1,1,27.0,2,2,2,8.75
12.0,0,1,17.0,0,0,35.0,2,2,2,11.35
12.0,0,1,19.0,0,1,37.0,2,2,1,11.5
8.0,1,1,27.0,1,0,41.0,2,2,2,6.5
9.0,1,1,30.0,0,1,45.0,2,2,2,6.25
9.0,1,1,29.0,1,0,44.0,2,2,2,19.98
12.0,0,1,37.0,1,0,55.0,2,2,0,7.3
7.0,1,1,44.0,1,0,57.0,2,2,2,8.0
12.0,0,1,26.0,0,0,44.0,2,2,1,22.2
11.0,0,1,16.0,1,1,33.0,2,2,2,3.65
12.0,0,1,33.0,1,0,51.0,2,2,2,20.55
12.0,0,0,16.0,0,0,34.0,2,2,1,5.71
7.0,0,1,42.0,0,0,55.0,1,2,1,7.0
12.0,0,1,9.0,1,1,27.0,2,2,2,3.75
11.0,1,1,14.0,1,0,31.0,1,2,2,4.5
12.0,0,1,23.0,1,0,41.0,2,2,2,9.56
6.0,1,1,45.0,1,0,57.0,2,2,1,5.75
12.0,0,1,8.0,1,0,26.0,2,2,1,9.36
10.0,0,1,30.0,1,0,46.0,2,2,2,6.5
12.0,0,0,8.0,1,0,26.0,2,2,1,3.35
12.0,0,1,8.0,1,0,26.0,2,2,2,4.75
14.0,0,1,13.0,1,1,33.0,2,2,2,8.9
12.0,1,0,46.0,1,1,64.0,2,2,2,4.0
8.0,0,1,19.0,1,0,33.0,2,2,2,4.7
17.0,1,0,1.0,1,1,24.0,2,2,2,5.0
12.0,0,1,19.0,1,1,37.0,2,2,1,9.25
12.0,0,1,36.0,1,1,54.0,1,2,2,10.67
12.0,1,1,20.0,1,0,38.0,1,2,0,7.61
12.0,0,1,35.0,0,0,53.0,1,2,0,10.0
12.0,0,1,3.0,1,1,21.0,2,2,2,7.5
14.0,1,1,10.0,1,0,30.0,2,2,1,12.2
12.0,0,1,0.0,1,1,18.0,2,2,2,3.35
14.0,1,1,14.0,0,0,34.0,2,2,1,11.0
12.0,0,1,14.0,1,0,32.0,2,2,1,12.0
9.0,0,0,16.0,1,0,31.0,2,2,1,4.85
13.0,1,1,8.0,1,1,27.0,2,2,0,4.3
7.0,1,0,15.0,1,0,28.0,2,2,1,6.0
16.0,0,1,12.0,1,0,34.0,2,2,1,15.0
10.0,1,1,13.0,1,1,29.0,2,2,2,4.85
8.0,0,1,33.0,0,0,47.0,2,2,2,9.0
12.0,0,1,9.0,1,0,27.0,2,2,1,6.36
12.0,0,1,7.0,1,0,25.0,2,2,2,9.15
16.0,0,1,13.0,0,0,35.0,2,2,1,11.0
12.0,0,0,7.0,1,0,25.0,2,2,1,4.5
12.0,0,0,16.0,1,0,34.0,2,2,1,4.8
13.0,0,1,0.0,1,1,19.0,2,2,2,4.0
12.0,0,0,11.0,1,1,29.0,2,2,1,5.5
13.0,0,1,17.0,1,1,36.0,2,2,1,8.4
10.0,0,1,13.0,1,0,29.0,2,2,1,6.75
12.0,0,1,22.0,0,1,40.0,1,2,1,10.0
12.0,0,0,28.0,1,0,46.0,2,2,1,5.0
11.0,0,1,17.0,1,1,34.0,2,2,2,6.5
12.0,0,1,24.0,0,0,42.0,2,2,0,10.75
3.0,1,1,55.0,1,0,64.0,0,2,1,7.0
12.0,1,1,3.0,1,1,21.0,2,2,0,11.43
12.0,0,1,6.0,0,1,24.0,1,2,1,4.0
10.0,0,1,27.0,1,0,43.0,2,2,0,9.0
12.0,1,1,19.0,0,0,37.0,1,2,1,13.0
12.0,0,1,19.0,0,0,37.0,2,2,0,12.22
12.0,0,0,38.0,1,0,56.0,2,2,1,6.28
10.0,1,1,41.0,0,0,57.0,1,2,1,6.75
11.0,1,1,3.0,1,1,20.0,1,2,1,3.35
14.0,0,1,20.0,0,0,40.0,2,2,2,16.0
10.0,0,1,15.0,1,0,31.0,2,2,2,5.25
8.0,1,1,8.0,1,0,22.0,0,2,1,3.5
8.0,1,0,39.0,1,0,53.0,2,2,1,4.22
6.0,0,0,43.0,0,0,55.0,0,2,1,3.0
11.0,1,0,25.0,0,0,42.0,2,2,1,4.0
12.0,0,1,11.0,0,0,29.0,2,2,2,10.0
12.0,0,1,12.0,1,0,30.0,1,2,2,5.0
12.0,1,1,35.0,0,0,53.0,2,2,1,16.0
14.0,0,1,14.0,1,1,34.0,2,2,2,13.98
12.0,0,1,16.0,0,0,34.0,2,2,2,13.26
10.0,0,0,44.0,0,1,60.0,2,2,1,6.1
16.0,1,0,13.0,1,1,35.0,2,2,2,3.75
13.0,0,1,8.0,0,1,27.0,1,2,1,9.0
12.0,0,1,13.0,1,1,31.0,2,2,1,9.45
11.0,0,1,18.0,0,0,35.0,2,2,2,5.5
12.0,0,0,18.0,1,0,36.0,2,2,2,8.93
12.0,1,0,6.0,1,1,24.0,2,2,2,6.25
11.0,1,1,37.0,0,0,54.0,2,2,1,9.75
12.0,1,1,2.0,1,0,20.0,2,2,1,6.73
12.0,0,1,23.0,1,0,41.0,2,2,1,7.78
12.0,0,1,1.0,1,1,19.0,2,2,2,2.85
12.0,1,0,10.0,1,0,28.0,1,2,1,3.35
12.0,0,1,23.0,1,0,41.0,2,2,1,19.98
12.0,0,1,8.0,0,0,26.0,1,2,2,8.5
15.0,0,0,9.0,1,0,30.0,2,2,1,9.75
12.0,0,1,33.0,0,0,51.0,2,2,0,15.0
12.0,0,0,19.0,1,0,37.0,2,2,1,8.0
13.0,0,1,14.0,1,0,33.0,2,2,2,11.25
11.0,0,1,13.0,0,0,30.0,2,2,2,14.0
10.0,0,1,12.0,1,0,28.0,2,2,0,10.0
12.0,0,1,8.0,1,1,26.0,2,2,2,6.5
12.0,0,1,23.0,1,0,41.0,2,2,1,9.83
14.0,0,0,13.0,1,1,33.0,2,2,1,18.5
12.0,1,1,9.0,1,0,27.0,2,2,2,12.5
14.0,0,1,21.0,0,0,41.0,2,2,2,26.0
5.0,1,1,44.0,1,0,55.0,2,2,0,14.0
12.0,0,1,4.0,0,0,22.0,2,2,2,10.5
8.0,0,1,42.0,1,0,56.0,2,2,1,11.0
13.0,0,1,10.0,0,0,29.0,2,2,2,12.47
12.0,0,1,11.0,1,1,29.0,2,2,0,12.5
12.0,0,1,40.0,0,0,58.0,2,2,0,15.0
12.0,0,1,8.0,1,1,26.0,2,2,0,6.0
11.0,1,1,29.0,1,0,46.0,2,2,0,9.5
16.0,0,1,3.0,0,1,25.0,2,2,2,5.0
11.0,0,1,11.0,1,1,28.0,2,2,0,3.75
12.0,0,1,12.0,0,0,30.0,2,2,2,12.57
8.0,0,0,22.0,1,0,36.0,0,2,2,6.88
12.0,0,1,12.0,1,0,30.0,2,2,2,5.5
12.0,0,1,7.0,0,0,25.0,2,2,2,7.0
12.0,0,0,15.0,1,1,33.0,2,2,1,4.5
12.0,0,1,28.0,1,0,46.0,2,2,2,6.5
12.0,1,1,20.0,0,0,38.0,2,2,1,12.0
12.0,1,1,6.0,1,1,24.0,2,2,0,5.0
12.0,1,1,5.0,1,1,23.0,2,2,1,6.5
9.0,1,0,30.0,1,0,45.0,2,2,1,6.8
13.0,0,1,18.0,1,0,37.0,2,2,2,8.75
12.0,1,0,6.0,1,0,24.0,1,2,1,3.75
12.0,1,1,16.0,1,1,34.0,0,2,2,4.5
12.0,1,1,1.0,0,1,19.0,0,2,2,6.0
12.0,0,1,3.0,1,1,21.0,2,2,1,5.5
12.0,0,1,8.0,1,0,26.0,2,2,2,13.0
14.0,0,1,2.0,1,1,22.0,2,2,1,5.65
9.0,0,1,16.0,1,1,31.0,1,2,1,4.8
10.0,1,1,9.0,1,0,25.0,2,2,0,7.0
12.0,0,1,2.0,1,1,20.0,2,2,2,5.25
7.0,1,1,43.0,1,0,56.0,2,2,1,3.35
9.0,0,1,38.0,1,0,53.0,2,2,1,8.5
12.0,0,1,9.0,1,0,27.0,2,2,2,6.0
12.0,1,1,12.0,1,0,30.0,2,2,2,6.75
12.0,0,1,18.0,1,0,36.0,2,2,1,8.89
11.0,0,1,15.0,0,1,32.0,2,2,1,14.21
11.0,1,1,28.0,0,0,45.0,1,2,0,10.78
10.0,1,1,27.0,0,0,43.0,2,2,0,8.9
12.0,1,1,38.0,1,0,56.0,2,2,2,7.5
12.0,0,0,3.0,1,1,21.0,2,2,1,4.5
12.0,0,1,41.0,0,0,59.0,2,2,2,11.25
12.0,1,1,16.0,0,0,34.0,2,2,2,13.45
13.0,1,1,7.0,1,0,26.0,2,2,1,6.0
6.0,1,0,33.0,1,1,45.0,1,2,1,4.62
14.0,0,1,25.0,1,0,45.0,2,2,1,10.58
12.0,1,1,5.0,1,0,23.0,2,2,2,5.0
14.0,1,1,17.0,1,1,37.0,1,2,2,8.2
12.0,1,1,1.0,1,1,19.0,2,2,2,6.25
12.0,0,1,13.0,1,0,31.0,2,2,1,8.5
16.0,0,1,18.0,1,0,40.0,2,1,2,24.98
14.0,1,1,21.0,1,0,41.0,2,1,2,16.65
14.0,0,1,2.0,1,1,22.0,2,1,2,6.25
12.0,1,0,4.0,1,1,22.0,0,1,2,4.55
12.0,1,0,30.0,1,0,48.0,0,1,2,11.25
13.0,0,1,32.0,1,1,51.0,2,1,2,21.25
17.0,0,0,13.0,1,0,36.0,2,1,2,12.65
12.0,0,1,17.0,1,1,35.0,2,1,2,7.5
14.0,0,0,26.0,1,0,46.0,2,1,2,10.25
16.0,0,1,9.0,1,1,31.0,2,1,2,3.35
16.0,0,1,8.0,1,1,30.0,1,1,2,13.45
15.0,0,1,1.0,0,0,22.0,2,1,2,4.84
17.0,1,1,32.0,1,0,55.0,2,1,2,26.29
12.0,0,0,24.0,1,0,42.0,2,1,2,6.58
14.0,0,0,1.0,1,1,21.0,2,1,2,44.5
12.0,0,1,42.0,1,0,60.0,2,1,1,15.0
16.0,0,0,3.0,1,1,25.0,1,1,1,11.25
12.0,0,0,32.0,1,0,50.0,2,1,2,7.0
14.0,0,1,22.0,1,1,42.0,1,1,2,10.0
16.0,0,1,18.0,1,0,40.0,2,1,2,14.53
18.0,0,0,19.0,1,0,43.0,2,1,2,20.0
15.0,0,1,12.0,1,0,33.0,2,1,2,22.5
12.0,0,0,42.0,1,0,60.0,2,1,2,3.64
12.0,1,1,34.0,1,0,52.0,2,1,2,10.62
18.0,0,1,29.0,1,0,53.0,2,1,2,24.98
16.0,1,1,8.0,1,1,30.0,2,1,2,6.0
18.0,0,1,13.0,1,1,37.0,2,1,1,19.0
16.0,0,1,10.0,1,1,32.0,2,1,2,13.2
16.0,0,1,22.0,1,0,44.0,2,1,2,22.5
16.0,1,1,10.0,1,0,32.0,2,1,2,15.0
17.0,0,0,15.0,1,0,38.0,2,1,2,6.88
12.0,0,1,26.0,1,0,44.0,2,1,2,11.84
14.0,0,1,16.0,1,1,36.0,2,1,2,16.14
18.0,0,0,14.0,1,0,38.0,2,1,2,13.95
12.0,0,0,38.0,1,0,56.0,2,1,2,13.16
12.0,1,1,14.0,1,0,32.0,1,1,2,5.3
12.0,0,0,7.0,1,0,25.0,2,1,2,4.5
18.0,1,0,13.0,1,1,37.0,2,1,2,10.0
10.0,0,1,20.0,1,0,36.0,2,1,2,10.0
16.0,0,1,7.0,0,0,29.0,0,1,2,10.0
16.0,0,0,26.0,1,0,48.0,2,1,2,9.37
16.0,0,1,14.0,1,0,36.0,2,1,2,5.8
13.0,0,1,36.0,1,1,55.0,2,1,2,17.86
12.0,0,1,24.0,1,0,42.0,2,1,2,1.0
14.0,1,1,41.0,1,0,61.0,2,1,2,8.8
16.0,0,1,7.0,1,0,29.0,1,1,2,9.0
17.0,1,1,14.0,1,1,37.0,2,1,2,18.16
12.0,1,0,1.0,1,1,19.0,2,1,2,7.81
16.0,0,0,6.0,1,0,28.0,2,1,1,10.62
12.0,0,0,3.0,1,0,21.0,2,1,2,4.5
15.0,0,1,31.0,1,0,52.0,2,1,2,17.25
13.0,0,0,14.0,1,0,33.0,2,1,1,10.5
14.0,0,0,13.0,1,0,33.0,2,1,2,9.22
16.0,0,1,26.0,0,0,48.0,1,1,1,15.0
18.0,0,1,14.0,1,0,38.0,2,1,2,22.5
13.0,0,0,33.0,1,0,52.0,2,4,2,4.55
12.0,0,1,16.0,1,0,34.0,2,4,2,9.0
18.0,0,1,10.0,1,0,34.0,2,4,2,13.33
14.0,0,1,22.0,1,1,42.0,2,4,2,15.0
14.0,0,1,2.0,1,1,22.0,2,4,2,7.5
12.0,1,0,29.0,1,0,47.0,2,4,2,4.25
12.0,0,1,43.0,1,0,61.0,2,4,1,12.5
12.0,0,0,5.0,1,0,23.0,2,4,2,5.13
16.0,1,0,14.0,1,0,36.0,1,4,2,3.35
12.0,1,1,28.0,1,0,46.0,2,4,2,11.11
11.0,1,0,25.0,1,0,42.0,1,4,2,3.84
12.0,0,0,45.0,1,0,63.0,2,4,2,6.4
14.0,1,1,5.0,1,1,25.0,2,4,2,5.56
12.0,1,1,20.0,1,0,38.0,2,4,1,10.0
16.0,0,0,6.0,1,0,28.0,2,4,2,5.65
16.0,0,1,16.0,1,0,38.0,2,4,2,11.5
11.0,0,0,33.0,1,0,50.0,2,4,2,3.5
13.0,1,0,2.0,1,0,21.0,2,4,2,3.35
12.0,1,0,10.0,1,1,28.0,2,4,2,4.75
14.0,1,1,44.0,1,0,64.0,2,4,2,19.98
14.0,1,0,6.0,1,0,26.0,2,4,2,3.5
12.0,0,0,15.0,1,1,33.0,2,4,2,4.0
12.0,0,1,5.0,1,0,23.0,2,4,2,7.0
13.0,0,0,4.0,1,0,23.0,2,4,1,6.25
14.0,0,1,14.0,1,0,34.0,2,4,2,4.5
14.0,0,0,32.0,1,0,52.0,2,4,2,14.29
12.0,0,0,14.0,1,0,32.0,2,4,2,5.0
14.0,0,1,21.0,1,0,41.0,2,4,2,13.75
12.0,0,1,43.0,0,0,61.0,2,4,2,13.71
12.0,1,0,27.0,1,0,45.0,1,4,2,7.5
12.0,0,0,4.0,1,1,22.0,2,4,2,3.8
14.0,0,1,0.0,1,1,20.0,0,4,2,5.0
12.0,1,1,32.0,1,0,50.0,2,4,2,9.42
12.0,0,1,20.0,1,0,38.0,2,4,2,5.5
15.0,1,1,4.0,1,1,25.0,2,4,2,3.75
12.0,0,1,34.0,1,0,52.0,2,4,2,3.5
13.0,0,1,5.0,1,1,24.0,2,4,2,5.8
17.0,0,1,13.0,1,0,36.0,2,4,1,12.0
14.0,0,0,17.0,1,0,37.0,0,0,2,5.0
13.0,1,0,10.0,1,0,29.0,2,0,2,8.75
16.0,0,0,7.0,1,0,29.0,2,0,2,10.0
12.0,0,0,25.0,1,1,43.0,2,0,2,8.5
12.0,0,0,18.0,1,0,36.0,1,0,2,8.63
16.0,0,0,27.0,1,0,49.0,2,0,1,9.0
16.0,0,0,2.0,1,1,24.0,2,0,2,5.5
13.0,0,1,13.0,1,0,32.0,2,0,2,11.11
14.0,0,0,24.0,1,1,44.0,2,0,2,10.0
18.0,1,0,13.0,1,0,37.0,0,0,2,5.2
14.0,0,0,15.0,0,1,35.0,2,0,2,8.0
12.0,1,0,12.0,1,1,30.0,0,0,2,3.56
12.0,0,0,24.0,1,0,42.0,2,0,2,5.2
12.0,0,0,43.0,1,0,61.0,2,0,0,11.67
12.0,0,0,13.0,1,0,31.0,2,0,1,11.32
12.0,1,0,16.0,1,0,34.0,2,0,2,7.5
11.0,0,0,24.0,1,0,41.0,2,0,2,5.5
