EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,MARR,AGE,RACE,OCCUPATION,SECTOR,label
16.0,1,0,4.0,1,0,26.0,2,0,2,5.0
12.0,0,0,24.0,1,0,42.0,2,0,2,7.75
12.0,0,0,45.0,1,0,63.0,2,0,2,5.25
12.0,0,1,20.0,0,0,38.0,2,0,2,9.0
12.0,0,0,38.0,1,0,56.0,2,0,2,9.65
18.0,1,1,10.0,1,0,34.0,2,0,2,5.21
11.0,0,0,16.0,1,0,33.0,1,0,2,7.0
12.0,1,0,32.0,1,0,50.0,1,0,2,12.16
16.0,1,0,2.0,1,1,24.0,2,0,2,5.25
13.0,1,0,28.0,1,1,47.0,2,0,2,10.32
16.0,0,1,3.0,1,1,25.0,1,0,2,3.35
13.0,0,0,8.0,0,1,27.0,2,0,2,7.7
12.0,0,0,44.0,1,0,62.0,2,0,1,9.17
12.0,1,1,12.0,1,0,30.0,2,0,2,8.43
12.0,1,1,8.0,1,0,26.0,1,0,2,4.0
12.0,0,0,4.0,1,0,22.0,2,0,2,4.13
12.0,1,0,28.0,1,0,46.0,2,0,2,3.0
13.0,1,0,0.0,1,1,19.0,2,0,2,4.25
14.0,1,1,1.0,1,1,21.0,2,0,2,7.53
14.0,0,0,12.0,1,0,32.0,2,0,1,10.53
12.0,0,0,39.0,1,0,57.0,2,0,2,5.0
12.0,0,0,24.0,1,0,42.0,2,0,2,15.03
17.0,0,0,32.0,1,0,55.0,1,0,2,11.25
16.0,0,1,4.0,1,1,26.0,1,0,2,6.25
12.0,0,0,25.0,1,1,43.0,1,0,2,3.5
12.0,0,1,8.0,1,1,26.0,1,0,2,6.85
13.0,0,0,16.0,1,0,35.0,2,0,2,12.5
12.0,1,1,5.0,1,1,23.0,2,0,2,12.0
13.0,0,1,31.0,1,1,50.0,2,0,2,6.0
12.0,0,0,25.0,1,1,43.0,2,0,2,9.5
12.0,0,0,15.0,1,0,33.0,2,0,2,4.1
14.0,1,0,15.0,1,0,35.0,2,0,2,10.43
12.0,0,0,0.0,1,1,18.0,2,0,2,5.0
12.0,0,1,19.0,1,0,37.0,2,0,2,7.69
12.0,0,0,21.0,1,1,39.0,1,0,2,5.5
12.0,0,0,6.0,1,1,24.0,2,0,2,6.4
12.0,0,0,14.0,0,0,32.0,2,0,2,12.5
13.0,0,0,30.0,1,0,49.0,2,0,2,6.25
12.0,0,0,8.0,1,1,26.0,2,0,2,8.0
9.0,0,1,33.0,0,1,48.0,2,0,2,9.6
13.0,0,1,16.0,1,1,35.0,0,0,2,9.1
12.0,1,0,20.0,1,1,38.0,2,0,2,7.5
13.0,1,0,6.0,1,0,25.0,2,0,2,5.0
12.0,0,0,10.0,0,0,28.0,2,0,2,7.0
13.0,1,0,1.0,1,1,20.0,2,0,2,3.55
12.0,1,1,2.0,1,1,20.0,1,0,2,8.5
13.0,1,0,0.0,1,1,19.0,2,0,2,4.5
16.0,0,1,17.0,1,0,39.0,1,0,2,7.88
12.0,0,0,8.0,1,1,26.0,2,0,2,5.25
12.0,1,1,4.0,1,1,22.0,2,0,2,5.0
12.0,0,0,15.0,1,1,33.0,2,0,2,9.33
12.0,0,0,29.0,1,0,47.0,2,0,2,10.5
12.0,1,0,23.0,1,0,41.0,1,0,2,7.5
12.0,1,0,39.0,1,0,57.0,2,0,2,9.5
12.0,1,0,14.0,1,0,32.0,2,0,2,9.6
17.0,1,0,6.0,1,1,29.0,1,0,2,5.87
14.0,1,1,12.0,0,0,32.0,2,0,2,11.02
12.0,1,0,26.0,1,1,44.0,2,0,2,5.0
14.0,0,0,32.0,1,0,52.0,2,0,2,5.62
15.0,0,0,6.0,1,0,27.0,2,0,2,12.5
12.0,0,0,40.0,1,0,58.0,2,0,2,10.81
12.0,0,0,18.0,1,0,36.0,2,0,1,5.4
11.0,0,0,12.0,1,1,29.0,2,0,2,7.0
12.0,1,0,36.0,1,0,54.0,2,0,0,4.59
12.0,0,0,19.0,1,0,37.0,2,0,2,6.0
16.0,0,0,42.0,1,1,64.0,2,0,1,11.71
13.0,0,0,2.0,1,0,21.0,0,0,2,5.62
12.0,0,0,33.0,1,0,51.0,2,0,2,5.5
12.0,1,0,14.0,1,0,32.0,2,0,2,4.85
12.0,0,1,22.0,1,1,40.0,2,0,2,6.75
12.0,0,0,20.0,1,0,38.0,2,0,2,4.25
12.0,0,0,15.0,1,0,33.0,2,0,2,5.75
12.0,0,1,35.0,1,0,53.0,2,0,2,3.5
12.0,0,0,7.0,1,0,25.0,2,0,2,3.35
12.0,0,0,45.0,1,1,63.0,2,0,1,10.62
12.0,0,0,9.0,1,1,27.0,2,0,2,8.0
12.0,1,0,2.0,1,0,20.0,2,0,2,4.75
17.0,1,1,3.0,1,1,26.0,2,0,2,8.5
14.0,0,0,19.0,0,0,39.0,1,0,2,8.85
12.0,1,0,14.0,1,0,32.0,2,0,2,8.0
4.0,0,1,54.0,1,0,64.0,2,5,2,6.0
14.0,0,1,17.0,1,0,37.0,2,5,2,7.14
8.0,0,0,29.0,1,0,43.0,1,5,2,3.4
15.0,1,0,26.0,1,1,47.0,2,5,2,6.0
2.0,0,1,16.0,1,1,24.0,0,5,2,3.75
8.0,0,0,29.0,1,1,43.0,1,5,2,8.89
11.0,0,0,20.0,1,0,37.0,2,5,2,4.35
10.0,1,0,38.0,1,0,54.0,1,5,2,13.1
8.0,1,0,37.0,1,0,51.0,1,5,2,4.35
9.0,0,1,48.0,1,1,63.0,2,5,2,3.5
12.0,0,0,16.0,1,1,34.0,2,5,2,3.8
8.0,0,0,38.0,1,0,52.0,2,5,2,5.26
14.0,0,1,0.0,1,1,20.0,1,5,2,3.35
12.0,0,1,14.0,0,1,32.0,1,5,2,16.26
12.0,0,0,2.0,1,0,20.0,2,5,2,4.25
16.0,0,1,21.0,1,0,43.0,2,5,2,4.5
13.0,0,0,15.0,1,0,34.0,2,5,2,8.0
16.0,0,0,20.0,1,1,42.0,2,5,2,4.0
14.0,0,0,12.0,1,0,32.0,2,5,2,7.96
12.0,1,1,7.0,1,1,25.0,0,5,2,4.0
11.0,0,1,4.0,1,0,21.0,2,5,2,4.15
13.0,1,1,9.0,1,0,28.0,2,5,2,5.95
12.0,1,0,43.0,1,0,61.0,0,5,2,3.6
10.0,1,1,19.0,1,1,35.0,2,5,2,8.75
8.0,0,0,49.0,1,1,63.0,2,5,2,3.4
12.0,0,0,38.0,1,0,56.0,2,5,2,4.28
12.0,0,0,13.0,1,0,31.0,2,5,2,5.35
12.0,0,0,14.0,1,0,32.0,2,5,2,5.0
12.0,0,1,20.0,1,1,38.0,2,5,2,7.65
12.0,0,0,7.0,1,1,25.0,2,5,2,6.94
12.0,0,0,9.0,0,0,27.0,2,5,1,7.5
12.0,0,0,6.0,1,1,24.0,2,5,2,3.6
12.0,1,0,5.0,1,0,23.0,2,5,2,1.75
13.0,1,0,1.0,1,1,20.0,1,5,2,3.45
14.0,0,1,22.0,0,0,42.0,2,5,2,9.63
12.0,0,0,24.0,1,0,42.0,2,5,2,8.49
12.0,0,0,15.0,0,1,33.0,2,5,2,8.99
11.0,1,0,8.0,1,0,25.0,2,5,2,3.65
11.0,1,0,17.0,1,0,34.0,2,5,2,3.5
12.0,1,1,2.0,1,1,20.0,1,5,2,3.43
12.0,1,1,20.0,1,0,38.0,2,5,2,5.5
12.0,0,1,26.0,0,0,44.0,2,5,2,6.93
10.0,1,0,37.0,1,0,53.0,1,5,2,3.51
12.0,0,0,41.0,1,1,59.0,2,5,2,3.75
12.0,0,0,27.0,1,0,45.0,2,5,2,4.17
12.0,0,0,5.0,0,0,23.0,2,5,2,9.57
14.0,0,1,16.0,1,0,36.0,1,5,2,14.67
14.0,0,0,19.0,1,0,39.0,2,5,2,12.5
12.0,0,1,10.0,1,0,28.0,2,5,2,5.5
13.0,1,1,1.0,0,1,20.0,2,5,2,5.15
12.0,0,0,43.0,0,0,61.0,1,5,2,8.0
13.0,0,1,3.0,1,1,22.0,1,5,2,5.83
12.0,0,0,0.0,1,1,18.0,2,5,2,3.35
12.0,1,0,26.0,1,0,44.0,2,5,2,7.0
10.0,0,0,25.0,0,0,41.0,2,5,2,10.0
12.0,0,0,15.0,1,0,33.0,2,5,2,8.0
14.0,1,0,10.0,1,1,30.0,2,5,2,6.88
11.0,0,0,45.0,0,1,62.0,2,5,2,5.55
11.0,0,1,3.0,1,1,20.0,1,5,2,7.5
8.0,0,1,47.0,0,0,61.0,0,5,2,8.93
16.0,0,0,6.0,1,0,28.0,1,5,2,9.0
10.0,1,0,33.0,1,1,49.0,2,5,2,3.5
16.0,0,1,3.0,1,1,25.0,2,5,1,5.77
14.0,0,1,4.0,0,1,24.0,0,5,2,25.0
14.0,0,1,34.0,0,0,54.0,1,5,2,6.85
11.0,1,1,39.0,1,0,56.0,2,5,2,6.5
12.0,1,0,17.0,1,0,35.0,2,5,2,3.75
9.0,0,1,47.0,0,0,62.0,2,5,2,3.5
11.0,0,1,2.0,1,1,19.0,2,5,2,4.5
13.0,1,1,0.0,1,1,19.0,2,5,2,2.01
14.0,0,0,24.0,1,1,44.0,2,5,2,4.17
12.0,0,1,25.0,0,0,43.0,1,5,2,13.0
14.0,0,0,6.0,1,1,26.0,2,5,2,3.98
12.0,0,0,10.0,1,1,28.0,2,5,2,7.5
12.0,0,0,33.0,1,0,51.0,1,5,2,13.12
12.0,0,1,12.0,1,1,30.0,2,5,2,4.0
12.0,1,0,9.0,1,0,27.0,2,5,2,3.95
11.0,1,1,18.0,0,0,35.0,2,5,2,13.0
12.0,0,1,10.0,1,0,28.0,2,5,2,9.0
8.0,1,0,45.0,1,1,59.0,2,5,2,4.55
9.0,0,0,46.0,0,0,61.0,2,5,2,9.5
7.0,1,1,14.0,1,0,27.0,0,5,2,4.5
11.0,0,0,36.0,1,1,53.0,2,5,2,8.75
13.0,0,1,34.0,0,0,53.0,2,3,0,10.0
18.0,0,1,15.0,1,0,39.0,2,3,2,18.0
17.0,0,1,31.0,1,0,54.0,2,3,1,24.98
16.0,0,0,6.0,1,1,28.0,2,3,1,12.05
14.0,1,1,15.0,1,0,35.0,2,3,2,22.0
12.0,0,1,30.0,1,0,48.0,2,3,2,8.75
18.0,0,1,8.0,1,0,32.0,2,3,2,22.2
18.0,0,1,5.0,1,0,29.0,2,3,1,17.25
17.0,0,0,3.0,0,1,26.0,2,3,2,6.0
13.0,1,1,17.0,1,0,36.0,2,3,2,8.06
16.0,0,1,5.0,0,0,27.0,1,3,1,9.24
14.0,0,0,10.0,1,0,30.0,2,3,2,12.0
15.0,0,0,33.0,1,1,54.0,2,3,2,10.61
18.0,0,1,3.0,1,0,27.0,2,3,2,5.71
16.0,0,0,0.0,1,1,18.0,2,3,2,10.0
16.0,1,1,13.0,1,0,35.0,1,3,2,17.5
18.0,0,1,12.0,1,0,36.0,2,3,2,15.0
16.0,0,0,6.0,1,0,28.0,2,3,2,7.78
17.0,0,1,7.0,1,0,30.0,2,3,2,7.8
16.0,1,1,14.0,0,0,36.0,2,3,2,10.0
17.0,0,0,5.0,1,1,28.0,2,3,2,24.98
15.0,1,0,10.0,1,0,31.0,2,3,2,10.28
18.0,0,0,11.0,1,0,35.0,2,3,2,15.0
17.0,0,0,24.0,1,0,47.0,2,3,2,12.0
16.0,0,1,9.0,1,1,31.0,2,3,1,10.58
18.0,1,1,12.0,1,0,36.0,2,3,2,5.85
18.0,0,1,19.0,1,0,43.0,2,3,2,11.22
14.0,0,0,14.0,1,0,34.0,2,3,2,8.56
16.0,0,0,17.0,1,1,39.0,2,3,1,13.89
18.0,1,1,7.0,1,1,31.0,2,3,2,5.71
18.0,0,1,7.0,1,0,31.0,2,3,2,15.79
16.0,0,0,22.0,1,0,44.0,2,3,2,7.5
12.0,0,0,28.0,1,0,46.0,2,3,2,11.25
16.0,0,0,16.0,1,1,38.0,2,3,2,6.15
16.0,1,1,16.0,1,1,38.0,1,3,2,13.45
16.0,0,0,7.0,1,0,29.0,2,3,2,6.25
12.0,0,0,11.0,1,1,29.0,2,3,2,6.5
12.0,0,0,11.0,1,0,29.0,2,3,2,12.0
12.0,0,0,16.0,1,1,34.0,2,3,2,8.5
18.0,0,1,33.0,0,1,57.0,2,3,2,8.0
12.0,1,0,21.0,1,0,39.0,2,3,2,5.75
16.0,0,1,4.0,1,0,26.0,2,3,1,15.73
15.0,0,1,13.0,1,0,34.0,2,3,2,9.86
18.0,0,1,14.0,0,0,38.0,2,3,2,13.51
16.0,0,0,10.0,1,0,32.0,2,3,2,5.4
18.0,1,1,14.0,1,0,38.0,2,3,2,6.25
16.0,1,1,29.0,1,0,51.0,2,3,2,5.5
12.0,0,1,4.0,1,1,22.0,0,3,2,5.0
18.0,0,1,27.0,1,0,51.0,1,3,2,6.25
12.0,0,1,3.0,1,0,21.0,2,3,2,5.75
16.0,1,1,14.0,0,0,36.0,2,3,2,20.5
14.0,0,1,0.0,1,0,20.0,2,3,0,5.0
18.0,0,1,33.0,1,0,57.0,2,3,2,7.0
16.0,1,1,38.0,1,0,60.0,2,3,2,18.0
18.0,0,0,18.0,0,0,42.0,2,3,2,12.0
17.0,0,1,3.0,1,1,26.0,2,3,1,20.4
18.0,0,0,40.0,1,1,64.0,2,3,2,22.2
14.0,0,1,19.0,1,1,39.0,2,3,1,16.42
14.0,0,0,4.0,1,1,24.0,2,3,2,8.63
16.0,0,0,11.0,1,0,33.0,2,3,2,19.38
16.0,0,0,16.0,1,0,38.0,2,3,2,14.0
14.0,0,1,22.0,1,0,42.0,2,3,2,10.0
17.0,0,0,13.0,0,1,36.0,2,3,2,15.95
16.0,1,0,28.0,0,0,50.0,2,3,2,20.0
16.0,0,0,10.0,1,0,32.0,2,3,2,10.0
16.0,1,0,5.0,1,1,27.0,2,3,2,24.98
15.0,0,1,5.0,1,1,26.0,2,3,2,11.25
18.0,0,0,37.0,1,1,61.0,2,3,1,22.83
17.0,0,0,26.0,0,0,49.0,2,3,2,10.2
16.0,1,0,4.0,1,0,26.0,2,3,2,10.0
18.0,0,0,31.0,0,1,55.0,2,3,2,14.0
17.0,0,0,13.0,0,0,36.0,2,3,2,12.5
12.0,0,0,42.0,1,0,60.0,2,3,2,5.79
17.0,0,1,18.0,1,0,41.0,0,3,2,24.98
12.0,0,0,3.0,1,0,21.0,2,3,2,4.35
17.0,0,0,10.0,1,1,33.0,2,3,2,11.25
16.0,0,0,10.0,0,1,32.0,2,3,2,6.67
16.0,0,0,17.0,1,0,39.0,0,3,2,8.0
18.0,0,1,7.0,1,0,31.0,2,3,2,18.16
16.0,0,0,14.0,1,0,36.0,2,3,2,12.0
16.0,0,0,22.0,0,0,44.0,2,3,2,8.89
17.0,0,0,14.0,1,0,37.0,2,3,2,9.5
16.0,0,1,11.0,1,0,33.0,2,3,2,13.65
18.0,0,1,23.0,0,0,47.0,2,3,2,12.0
12.0,0,1,39.0,0,0,57.0,2,3,2,15.0
16.0,0,1,15.0,1,0,37.0,2,3,2,12.67
14.0,0,0,15.0,1,1,35.0,0,3,2,7.38
16.0,0,1,10.0,1,1,32.0,2,3,2,15.56
12.0,1,0,25.0,1,1,43.0,2,3,2,7.45
14.0,0,0,12.0,1,0,32.0,2,3,2,6.25
16.0,1,0,7.0,1,0,29.0,0,3,2,6.25
17.0,0,1,7.0,0,0,30.0,2,3,2,9.37
16.0,0,1,17.0,1,0,39.0,2,3,1,22.5
16.0,0,1,10.0,0,0,32.0,2,3,2,7.5
17.0,1,1,2.0,1,0,25.0,2,3,2,7.0
9.0,1,0,34.0,0,0,49.0,1,3,2,5.75
15.0,0,0,11.0,1,0,32.0,2,3,2,7.67
15.0,0,1,10.0,1,1,31.0,2,3,2,12.5
12.0,1,1,12.0,1,0,30.0,2,3,2,16.0
16.0,0,0,6.0,0,1,28.0,2,3,2,11.79
18.0,0,1,5.0,1,1,29.0,2,3,2,11.36
12.0,0,0,33.0,1,0,51.0,1,3,2,6.1
17.0,0,0,25.0,0,0,48.0,1,3,2,23.25
12.0,1,1,13.0,0,0,31.0,2,3,2,19.88
16.0,0,1,33.0,1,0,55.0,2,3,1,15.38
