EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,label
8.0,0,0,21.0,1,5.1,35.0,0,2,1,0
9.0,0,0,42.0,1,4.95,57.0,2,2,1,0
12.0,0,1,1.0,1,6.67,19.0,2,2,1,1
12.0,0,1,4.0,1,4.0,22.0,2,2,2,1
12.0,0,1,17.0,1,7.5,35.0,2,2,2,0
13.0,0,1,9.0,0,13.07,28.0,2,2,2,1
10.0,1,1,27.0,1,4.45,43.0,2,2,2,1
12.0,0,1,9.0,1,19.47,27.0,2,2,2,1
16.0,0,1,11.0,1,13.28,33.0,2,2,1,0
12.0,0,1,9.0,1,8.75,27.0,2,2,2,1
12.0,0,1,17.0,0,11.35,35.0,2,2,2,0
12.0,0,1,19.0,0,11.5,37.0,2,2,1,1
8.0,1,1,27.0,1,6.5,41.0,2,2,2,0
9.0,1,1,30.0,0,6.25,45.0,2,2,2,1
9.0,1,1,29.0,1,19.98,44.0,2,2,2,0
12.0,0,1,37.0,1,7.3,55.0,2,2,0,0
7.0,1,1,44.0,1,8.0,57.0,2,2,2,0
12.0,0,1,26.0,0,22.2,44.0,2,2,1,0
11.0,0,1,16.0,1,3.65,33.0,2,2,2,1
12.0,0,1,33.0,1,20.55,51.0,2,2,2,0
12.0,0,0,16.0,0,5.71,34.0,2,2,1,0
7.0,0,1,42.0,0,7.0,55.0,1,2,1,0
12.0,0,1,9.0,1,3.75,27.0,2,2,2,1
11.0,1,1,14.0,1,4.5,31.0,1,2,2,0
12.0,0,1,23.0,1,9.56,41.0,2,2,2,0
6.0,1,1,45.0,1,5.75,57.0,2,2,1,0
12.0,0,1,8.0,1,9.36,26.0,2,2,1,0
10.0,0,1,30.0,1,6.5,46.0,2,2,2,0
12.0,0,0,8.0,1,3.35,26.0,2,2,1,0
12.0,0,1,8.0,1,4.75,26.0,2,2,2,0
14.0,0,1,13.0,1,8.9,33.0,2,2,2,1
12.0,1,0,46.0,1,4.0,64.0,2,2,2,1
8.0,0,1,19.0,1,4.7,33.0,2,2,2,0
17.0,1,0,1.0,1,5.0,24.0,2,2,2,1
12.0,0,1,19.0,1,9.25,37.0,2,2,1,1
12.0,0,1,36.0,1,10.67,54.0,1,2,2,1
12.0,1,1,20.0,1,7.61,38.0,1,2,0,0
12.0,0,1,35.0,0,10.0,53.0,1,2,0,0
12.0,0,1,3.0,1,7.5,21.0,2,2,2,1
14.0,1,1,10.0,1,12.2,30.0,2,2,1,0
12.0,0,1,0.0,1,3.35,18.0,2,2,2,1
14.0,1,1,14.0,0,11.0,34.0,2,2,1,0
12.0,0,1,14.0,1,12.0,32.0,2,2,1,0
9.0,0,0,16.0,1,4.85,31.0,2,2,1,0
13.0,1,1,8.0,1,4.3,27.0,2,2,0,1
7.0,1,0,15.0,1,6.0,28.0,2,2,1,0
16.0,0,1,12.0,1,15.0,34.0,2,2,1,0
10.0,1,1,13.0,1,4.85,29.0,2,2,2,1
8.0,0,1,33.0,0,9.0,47.0,2,2,2,0
12.0,0,1,9.0,1,6.36,27.0,2,2,1,0
12.0,0,1,7.0,1,9.15,25.0,2,2,2,0
16.0,0,1,13.0,0,11.0,35.0,2,2,1,0
12.0,0,0,7.0,1,4.5,25.0,2,2,1,0
12.0,0,0,16.0,1,4.8,34.0,2,2,1,0
13.0,0,1,0.0,1,4.0,19.0,2,2,2,1
12.0,0,0,11.0,1,5.5,29.0,2,2,1,1
13.0,0,1,17.0,1,8.4,36.0,2,2,1,1
10.0,0,1,13.0,1,6.75,29.0,2,2,1,0
12.0,0,1,22.0,0,10.0,40.0,1,2,1,1
12.0,0,0,28.0,1,5.0,46.0,2,2,1,0
11.0,0,1,17.0,1,6.5,34.0,2,2,2,1
12.0,0,1,24.0,0,10.75,42.0,2,2,0,0
3.0,1,1,55.0,1,7.0,64.0,0,2,1,0
12.0,1,1,3.0,1,11.43,21.0,2,2,0,1
12.0,0,1,6.0,0,4.0,24.0,1,2,1,1
10.0,0,1,27.0,1,9.0,43.0,2,2,0,0
12.0,1,1,19.0,0,13.0,37.0,1,2,1,0
12.0,0,1,19.0,0,12.22,37.0,2,2,0,0
12.0,0,0,38.0,1,6.28,56.0,2,2,1,0
10.0,1,1,41.0,0,6.75,57.0,1,2,1,0
11.0,1,1,3.0,1,3.35,20.0,1,2,1,1
14.0,0,1,20.0,0,16.0,40.0,2,2,2,0
10.0,0,1,15.0,1,5.25,31.0,2,2,2,0
8.0,1,1,8.0,1,3.5,22.0,0,2,1,0
8.0,1,0,39.0,1,4.22,53.0,2,2,1,0
6.0,0,0,43.0,0,3.0,55.0,0,2,1,0
11.0,1,0,25.0,0,4.0,42.0,2,2,1,0
12.0,0,1,11.0,0,10.0,29.0,2,2,2,0
12.0,0,1,12.0,1,5.0,30.0,1,2,2,0
12.0,1,1,35.0,0,16.0,53.0,2,2,1,0
14.0,0,1,14.0,1,13.98,34.0,2,2,2,1
12.0,0,1,16.0,0,13.26,34.0,2,2,2,0
10.0,0,0,44.0,0,6.1,60.0,2,2,1,1
16.0,1,0,13.0,1,3.75,35.0,2,2,2,1
13.0,0,1,8.0,0,9.0,27.0,1,2,1,1
12.0,0,1,13.0,1,9.45,31.0,2,2,1,1
11.0,0,1,18.0,0,5.5,35.0,2,2,2,0
12.0,0,0,18.0,1,8.93,36.0,2,2,2,0
12.0,1,0,6.0,1,6.25,24.0,2,2,2,1
11.0,1,1,37.0,0,9.75,54.0,2,2,1,0
12.0,1,1,2.0,1,6.73,20.0,2,2,1,0
12.0,0,1,23.0,1,7.78,41.0,2,2,1,0
12.0,0,1,1.0,1,2.85,19.0,2,2,2,1
12.0,1,0,10.0,1,3.35,28.0,1,2,1,0
12.0,0,1,23.0,1,19.98,41.0,2,2,1,0
12.0,0,1,8.0,0,8.5,26.0,1,2,2,0
15.0,0,0,9.0,1,9.75,30.0,2,2,1,0
12.0,0,1,33.0,0,15.0,51.0,2,2,0,0
12.0,0,0,19.0,1,8.0,37.0,2,2,1,0
13.0,0,1,14.0,1,11.25,33.0,2,2,2,0
11.0,0,1,13.0,0,14.0,30.0,2,2,2,0
10.0,0,1,12.0,1,10.0,28.0,2,2,0,0
12.0,0,1,8.0,1,6.5,26.0,2,2,2,1
12.0,0,1,23.0,1,9.83,41.0,2,2,1,0
14.0,0,0,13.0,1,18.5,33.0,2,2,1,1
12.0,1,1,9.0,1,12.5,27.0,2,2,2,0
14.0,0,1,21.0,0,26.0,41.0,2,2,2,0
5.0,1,1,44.0,1,14.0,55.0,2,2,0,0
12.0,0,1,4.0,0,10.5,22.0,2,2,2,0
8.0,0,1,42.0,1,11.0,56.0,2,2,1,0
13.0,0,1,10.0,0,12.47,29.0,2,2,2,0
12.0,0,1,11.0,1,12.5,29.0,2,2,0,1
12.0,0,1,40.0,0,15.0,58.0,2,2,0,0
12.0,0,1,8.0,1,6.0,26.0,2,2,0,1
11.0,1,1,29.0,1,9.5,46.0,2,2,0,0
16.0,0,1,3.0,0,5.0,25.0,2,2,2,1
11.0,0,1,11.0,1,3.75,28.0,2,2,0,1
12.0,0,1,12.0,0,12.57,30.0,2,2,2,0
8.0,0,0,22.0,1,6.88,36.0,0,2,2,0
12.0,0,1,12.0,1,5.5,30.0,2,2,2,0
12.0,0,1,7.0,0,7.0,25.0,2,2,2,0
12.0,0,0,15.0,1,4.5,33.0,2,2,1,1
12.0,0,1,28.0,1,6.5,46.0,2,2,2,0
12.0,1,1,20.0,0,12.0,38.0,2,2,1,0
12.0,1,1,6.0,1,5.0,24.0,2,2,0,1
12.0,1,1,5.0,1,6.5,23.0,2,2,1,1
9.0,1,0,30.0,1,6.8,45.0,2,2,1,0
13.0,0,1,18.0,1,8.75,37.0,2,2,2,0
12.0,1,0,6.0,1,3.75,24.0,1,2,1,0
12.0,1,1,16.0,1,4.5,34.0,0,2,2,1
12.0,1,1,1.0,0,6.0,19.0,0,2,2,1
12.0,0,1,3.0,1,5.5,21.0,2,2,1,1
12.0,0,1,8.0,1,13.0,26.0,2,2,2,0
14.0,0,1,2.0,1,5.65,22.0,2,2,1,1
9.0,0,1,16.0,1,4.8,31.0,1,2,1,1
10.0,1,1,9.0,1,7.0,25.0,2,2,0,0
12.0,0,1,2.0,1,5.25,20.0,2,2,2,1
7.0,1,1,43.0,1,3.35,56.0,2,2,1,0
9.0,0,1,38.0,1,8.5,53.0,2,2,1,0
12.0,0,1,9.0,1,6.0,27.0,2,2,2,0
12.0,1,1,12.0,1,6.75,30.0,2,2,2,0
12.0,0,1,18.0,1,8.89,36.0,2,2,1,0
11.0,0,1,15.0,0,14.21,32.0,2,2,1,1
11.0,1,1,28.0,0,10.78,45.0,1,2,0,0
10.0,1,1,27.0,0,8.9,43.0,2,2,0,0
12.0,1,1,38.0,1,7.5,56.0,2,2,2,0
12.0,0,0,3.0,1,4.5,21.0,2,2,1,1
12.0,0,1,41.0,0,11.25,59.0,2,2,2,0
12.0,1,1,16.0,0,13.45,34.0,2,2,2,0
13.0,1,1,7.0,1,6.0,26.0,2,2,1,0
6.0,1,0,33.0,1,4.62,45.0,1,2,1,1
14.0,0,1,25.0,1,10.58,45.0,2,2,1,0
12.0,1,1,5.0,1,5.0,23.0,2,2,2,0
14.0,1,1,17.0,1,8.2,37.0,1,2,2,1
12.0,1,1,1.0,1,6.25,19.0,2,2,2,1
12.0,0,1,13.0,1,8.5,31.0,2,2,1,0
16.0,0,1,18.0,1,24.98,40.0,2,1,2,0
14.0,1,1,21.0,1,16.65,41.0,2,1,2,0
14.0,0,1,2.0,1,6.25,22.0,2,1,2,1
12.0,1,0,4.0,1,4.55,22.0,0,1,2,1
12.0,1,0,30.0,1,11.25,48.0,0,1,2,0
13.0,0,1,32.0,1,21.25,51.0,2,1,2,1
17.0,0,0,13.0,1,12.65,36.0,2,1,2,0
12.0,0,1,17.0,1,7.5,35.0,2,1,2,1
14.0,0,0,26.0,1,10.25,46.0,2,1,2,0
16.0,0,1,9.0,1,3.35,31.0,2,1,2,1
16.0,0,1,8.0,1,13.45,30.0,1,1,2,1
15.0,0,1,1.0,0,4.84,22.0,2,1,2,0
17.0,1,1,32.0,1,26.29,55.0,2,1,2,0
12.0,0,0,24.0,1,6.58,42.0,2,1,2,0
14.0,0,0,1.0,1,44.5,21.0,2,1,2,1
12.0,0,1,42.0,1,15.0,60.0,2,1,1,0
16.0,0,0,3.0,1,11.25,25.0,1,1,1,1
12.0,0,0,32.0,1,7.0,50.0,2,1,2,0
14.0,0,1,22.0,1,10.0,42.0,1,1,2,1
16.0,0,1,18.0,1,14.53,40.0,2,1,2,0
18.0,0,0,19.0,1,20.0,43.0,2,1,2,0
15.0,0,1,12.0,1,22.5,33.0,2,1,2,0
12.0,0,0,42.0,1,3.64,60.0,2,1,2,0
12.0,1,1,34.0,1,10.62,52.0,2,1,2,0
18.0,0,1,29.0,1,24.98,53.0,2,1,2,0
16.0,1,1,8.0,1,6.0,30.0,2,1,2,1
18.0,0,1,13.0,1,19.0,37.0,2,1,1,1
16.0,0,1,10.0,1,13.2,32.0,2,1,2,1
16.0,0,1,22.0,1,22.5,44.0,2,1,2,0
16.0,1,1,10.0,1,15.0,32.0,2,1,2,0
17.0,0,0,15.0,1,6.88,38.0,2,1,2,0
12.0,0,1,26.0,1,11.84,44.0,2,1,2,0
14.0,0,1,16.0,1,16.14,36.0,2,1,2,1
18.0,0,0,14.0,1,13.95,38.0,2,1,2,0
12.0,0,0,38.0,1,13.16,56.0,2,1,2,0
12.0,1,1,14.0,1,5.3,32.0,1,1,2,0
12.0,0,0,7.0,1,4.5,25.0,2,1,2,0
18.0,1,0,13.0,1,10.0,37.0,2,1,2,1
10.0,0,1,20.0,1,10.0,36.0,2,1,2,0
16.0,0,1,7.0,0,10.0,29.0,0,1,2,0
16.0,0,0,26.0,1,9.37,48.0,2,1,2,0
16.0,0,1,14.0,1,5.8,36.0,2,1,2,0
13.0,0,1,36.0,1,17.86,55.0,2,1,2,1
12.0,0,1,24.0,1,1.0,42.0,2,1,2,0
14.0,1,1,41.0,1,8.8,61.0,2,1,2,0
16.0,0,1,7.0,1,9.0,29.0,1,1,2,0
17.0,1,1,14.0,1,18.16,37.0,2,1,2,1
12.0,1,0,1.0,1,7.81,19.0,2,1,2,1
16.0,0,0,6.0,1,10.62,28.0,2,1,1,0
12.0,0,0,3.0,1,4.5,21.0,2,1,2,0
15.0,0,1,31.0,1,17.25,52.0,2,1,2,0
13.0,0,0,14.0,1,10.5,33.0,2,1,1,0
14.0,0,0,13.0,1,9.22,33.0,2,1,2,0
16.0,0,1,26.0,0,15.0,48.0,1,1,1,0
18.0,0,1,14.0,1,22.5,38.0,2,1,2,0
13.0,0,0,33.0,1,4.55,52.0,2,4,2,0
12.0,0,1,16.0,1,9.0,34.0,2,4,2,0
18.0,0,1,10.0,1,13.33,34.0,2,4,2,0
14.0,0,1,22.0,1,15.0,42.0,2,4,2,1
14.0,0,1,2.0,1,7.5,22.0,2,4,2,1
12.0,1,0,29.0,1,4.25,47.0,2,4,2,0
12.0,0,1,43.0,1,12.5,61.0,2,4,1,0
12.0,0,0,5.0,1,5.13,23.0,2,4,2,0
16.0,1,0,14.0,1,3.35,36.0,1,4,2,0
12.0,1,1,28.0,1,11.11,46.0,2,4,2,0
11.0,1,0,25.0,1,3.84,42.0,1,4,2,0
12.0,0,0,45.0,1,6.4,63.0,2,4,2,0
14.0,1,1,5.0,1,5.56,25.0,2,4,2,1
12.0,1,1,20.0,1,10.0,38.0,2,4,1,0
16.0,0,0,6.0,1,5.65,28.0,2,4,2,0
16.0,0,1,16.0,1,11.5,38.0,2,4,2,0
11.0,0,0,33.0,1,3.5,50.0,2,4,2,0
13.0,1,0,2.0,1,3.35,21.0,2,4,2,0
12.0,1,0,10.0,1,4.75,28.0,2,4,2,1
14.0,1,1,44.0,1,19.98,64.0,2,4,2,0
14.0,1,0,6.0,1,3.5,26.0,2,4,2,0
12.0,0,0,15.0,1,4.0,33.0,2,4,2,1
12.0,0,1,5.0,1,7.0,23.0,2,4,2,0
13.0,0,0,4.0,1,6.25,23.0,2,4,1,0
14.0,0,1,14.0,1,4.5,34.0,2,4,2,0
14.0,0,0,32.0,1,14.29,52.0,2,4,2,0
12.0,0,0,14.0,1,5.0,32.0,2,4,2,0
14.0,0,1,21.0,1,13.75,41.0,2,4,2,0
12.0,0,1,43.0,0,13.71,61.0,2,4,2,0
12.0,1,0,27.0,1,7.5,45.0,1,4,2,0
12.0,0,0,4.0,1,3.8,22.0,2,4,2,1
14.0,0,1,0.0,1,5.0,20.0,0,4,2,1
12.0,1,1,32.0,1,9.42,50.0,2,4,2,0
12.0,0,1,20.0,1,5.5,38.0,2,4,2,0
15.0,1,1,4.0,1,3.75,25.0,2,4,2,1
12.0,0,1,34.0,1,3.5,52.0,2,4,2,0
13.0,0,1,5.0,1,5.8,24.0,2,4,2,1
17.0,0,1,13.0,1,12.0,36.0,2,4,1,0
14.0,0,0,17.0,1,5.0,37.0,0,0,2,0
13.0,1,0,10.0,1,8.75,29.0,2,0,2,0
16.0,0,0,7.0,1,10.0,29.0,2,0,2,0
12.0,0,0,25.0,1,8.5,43.0,2,0,2,1
12.0,0,0,18.0,1,8.63,36.0,1,0,2,0
16.0,0,0,27.0,1,9.0,49.0,2,0,1,0
16.0,0,0,2.0,1,5.5,24.0,2,0,2,1
13.0,0,1,13.0,1,11.11,32.0,2,0,2,0
14.0,0,0,24.0,1,10.0,44.0,2,0,2,1
18.0,1,0,13.0,1,5.2,37.0,0,0,2,0
14.0,0,0,15.0,0,8.0,35.0,2,0,2,1
12.0,1,0,12.0,1,3.56,30.0,0,0,2,1
12.0,0,0,24.0,1,5.2,42.0,2,0,2,0
12.0,0,0,43.0,1,11.67,61.0,2,0,0,0
12.0,0,0,13.0,1,11.32,31.0,2,0,1,0
12.0,1,0,16.0,1,7.5,34.0,2,0,2,0
11.0,0,0,24.0,1,5.5,41.0,2,0,2,0
